54079_ID1725_5-B-20S_S22_L001_R2.trmdfilt	36278.0	35108.0	42719.0	38901.0	48091.0	43568.0	54462.0	52240.0	64468.0	66285.0	69251.0	71442.0	71215.0	76231.0	74907.0	84568.0	80262.0	97415.0	87599.0	149569.0	188106.0	170538.0	16237655.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54080_ID1725_6-B-24S_S23_L001_R1.trmdfilt	44206.0	40300.0	48919.0	44333.0	55321.0	50169.0	62827.0	61375.0	76259.0	79616.0	81287.0	85159.0	83264.0	90139.0	87539.0	99974.0	95129.0	114910.0	102229.0	170330.0	214347.0	189217.0	16548348.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54080_ID1725_6-B-24S_S23_L001_R2.trmdfilt	43661.0	39865.0	48377.0	43823.0	54653.0	49637.0	61979.0	60700.0	75338.0	78683.0	80305.0	84011.0	82225.0	88955.0	86519.0	98646.0	93734.0	113805.0	101229.0	169681.0	212832.0	191136.0	16565403.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54081_ID1725_7-B-28S_S24_L001_R1.trmdfilt	42468.0	40578.0	48797.0	44795.0	55303.0	50363.0	63535.0	61292.0	76822.0	79663.0	81682.0	84387.0	83154.0	87442.0	86511.0	97826.0	93634.0	112194.0	100789.0	168316.0	213114.0	187363.0	16980076.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54081_ID1725_7-B-28S_S24_L001_R2.trmdfilt	42158.0	40336.0	48548.0	44541.0	54916.0	49984.0	62984.0	60936.0	76243.0	79152.0	80852.0	83553.0	82340.0	86666.0	85918.0	97063.0	92652.0	111685.0	100356.0	168063.0	212074.0	190689.0	16988395.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54082_ID1725_8-B-29S_S25_L001_R1.trmdfilt	54887.0	53439.0	65630.0	61402.0	76909.0	70306.0	89381.0	84318.0	104948.0	105749.0	114494.0	118523.0	121292.0	130479.0	128431.0	146591.0	139683.0	168990.0	152947.0	234590.0	270549.0	259496.0	17901195.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54082_ID1725_8-B-29S_S25_L001_R2.trmdfilt	54425.0	53139.0	65130.0	61005.0	76334.0	69805.0	88792.0	83750.0	104069.0	104993.0	113719.0	117827.0	120691.0	129825.0	127982.0	145865.0	138721.0	168629.0	152795.0	235044.0	269656.0	263498.0	17908535.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54083_ID1725_9-B-30S_S26_L001_R1.trmdfilt	43778.0	42513.0	53382.0	50030.0	63681.0	59279.0	76170.0	73313.0	91291.0	94061.0	102754.0	108676.0	112495.0	123308.0	122445.0	141915.0	137006.0	167266.0	153256.0	237562.0	274701.0	270410.0	18858325.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54083_ID1725_9-B-30S_S26_L001_R2.trmdfilt	43399.0	42262.0	53023.0	49628.0	63172.0	58882.0	75535.0	72753.0	90472.0	93218.0	101783.0	107586.0	111550.0	122214.0	121761.0	140863.0	135797.0	166550.0	152357.0	237168.0	273346.0	273667.0	18870631.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54084_ID1725_12-B-33S_S27_L001_R1.trmdfilt	34500.0	32693.0	37826.0	34687.0	41978.0	40674.0	49469.0	51135.0	62101.0	86610.0	62243.0	81960.0	66577.0	76859.0	72330.0	87679.0	80471.0	102685.0	88746.0	156043.0	198575.0	180455.0	18898430.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54084_ID1725_12-B-33S_S27_L001_R2.trmdfilt	34468.0	32702.0	37781.0	34682.0	41893.0	40605.0	49366.0	51036.0	61983.0	86387.0	62074.0	81776.0	66437.0	76647.0	72414.0	87295.0	80148.0	102873.0	88778.0	156365.0	198399.0	184659.0	18895958.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54085_ID1725_15-B-36B_S28_L001_R1.trmdfilt	48380.0	48474.0	57656.0	55109.0	66514.0	61845.0	76701.0	74127.0	86753.0	88110.0	95506.0	97776.0	102758.0	110767.0	109069.0	123241.0	117954.0	141195.0	129492.0	194024.0	224380.0	221161.0	16564281.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54085_ID1725_15-B-36B_S28_L001_R2.trmdfilt	47944.0	48168.0	57231.0	54755.0	65990.0	61419.0	76020.0	73627.0	86093.0	87326.0	94734.0	97092.0	101965.0	109959.0	108430.0	122446.0	116899.0	140831.0	129141.0	193793.0	223297.0	224177.0	16573936.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54086_ID1725_16-B-37S_S29_L001_R1.trmdfilt	84073.0	84564.0	104042.0	98151.0	123877.0	115985.0	147129.0	142084.0	171801.0	175115.0	196192.0	205969.0	218146.0	240564.0	242726.0	281548.0	273033.0	333730.0	310415.0	436575.0	462785.0	488027.0	22704119.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54086_ID1725_16-B-37S_S29_L001_R2.trmdfilt	83060.0	83648.0	102947.0	97128.0	122622.0	114823.0	145556.0	140623.0	170060.0	173325.0	194381.0	204108.0	216453.0	238502.0	240891.0	279241.0	270550.0	332012.0	308571.0	434557.0	460780.0	492135.0	22734677.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54087_ID1725_24-B-48S_S30_L001_R1.trmdfilt	37352.0	36517.0	43839.0	41022.0	50799.0	46559.0	59586.0	56996.0	71554.0	72474.0	79161.0	80779.0	83850.0	89460.0	90660.0	102272.0	98738.0	117755.0	108434.0	179268.0	220083.0	205781.0	17938857.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54087_ID1725_24-B-48S_S30_L001_R2.trmdfilt	37087.0	36453.0	43665.0	40900.0	50553.0	46382.0	59310.0	56741.0	71212.0	72119.0	78855.0	80350.0	83551.0	89198.0	90394.0	101964.0	98150.0	117875.0	108597.0	179670.0	219706.0	208831.0	17940233.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54088_ID1725_26-B-51S_S31_L001_R1.trmdfilt	32686.0	32093.0	38974.0	37083.0	46870.0	43948.0	56602.0	54238.0	68557.0	69938.0	77972.0	82467.0	86512.0	94099.0	95676.0	110631.0	108823.0	131869.0	122960.0	192854.0	229362.0	221854.0	15930533.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54088_ID1725_26-B-51S_S31_L001_R2.trmdfilt	32362.0	31829.0	38628.0	36713.0	46498.0	43588.0	56059.0	53845.0	68007.0	69387.0	77334.0	81819.0	85972.0	93506.0	95148.0	109980.0	107800.0	131408.0	122730.0	192950.0	229155.0	224973.0	15936910.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54089_ID1725_40-B-74S_S32_L001_R1.trmdfilt	70601.0	66568.0	80872.0	73486.0	91844.0	82617.0	102231.0	93295.0	110018.0	105785.0	117684.0	120330.0	124659.0	136913.0	132457.0	153993.0	142168.0	170983.0	150714.0	231502.0	266373.0	282696.0	19550995.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54089_ID1725_40-B-74S_S32_L001_R2.trmdfilt	70174.0	66277.0	80506.0	73205.0	91431.0	82287.0	101733.0	92969.0	109632.0	105409.0	117167.0	119810.0	124169.0	136424.0	132007.0	153228.0	141073.0	170602.0	149776.0	230650.0	265940.0	286063.0	19558252.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54090_ID1725_43-B-79S_S33_L001_R1.trmdfilt	107287.0	98457.0	122934.0	109346.0	137070.0	122418.0	150419.0	137793.0	161574.0	155946.0	169464.0	175296.0	176537.0	197220.0	186216.0	218286.0	196801.0	239936.0	207541.0	310845.0	344944.0	359302.0	23112134.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54090_ID1725_43-B-79S_S33_L001_R2.trmdfilt	106563.0	97954.0	122311.0	108803.0	136417.0	121858.0	149741.0	137242.0	160927.0	155411.0	168862.0	174812.0	176175.0	196700.0	185788.0	217703.0	195572.0	239885.0	207057.0	310425.0	344745.0	362963.0	23119852.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54091_ID1725_46-B-87S_S34_L001_R1.trmdfilt	43714.0	43981.0	53382.0	50301.0	62799.0	57335.0	73070.0	71265.0	90143.0	94072.0	97249.0	103149.0	100064.0	105449.0	104972.0	116841.0	111640.0	133958.0	121018.0	192164.0	240180.0	213737.0	17777935.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54091_ID1725_46-B-87S_S34_L001_R2.trmdfilt	43442.0	43694.0	53010.0	49983.0	62392.0	56970.0	72602.0	70748.0	89521.0	93524.0	96532.0	102301.0	99153.0	104618.0	104325.0	115923.0	110313.0	133193.0	120158.0	191232.0	238995.0	216956.0	17788833.0
	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	142	147	150
54092_ID1725_47-B-88A_S35_L001_R1.trmdfilt	63615.0	62124.0	74019.0	68836.0	83666.0	76068.0	94683.0	90771.0	109855.0	113781.0	116560.0	123146.0	119379.0	127198.0	123611.0	138986.0	130846.0	156401.0	140251.0	214864.0	260090.0	234881.0	17491798.0
